# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	186050	187723	+	WP_008571001.1	WP_008571001.1		type IV secretory system conjugative DNA transfer family protein			E2P69_RS14480	1674	557	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	188056	188466	+							E2P69_RS14485	411		old_locus_tag=E2P69_14505
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	188056	188466	+	WP_005914237.1	WP_005914237.1		TcpQ domain-containing protein			E2P69_RS14485	411	136	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	188592	189623	+							E2P69_RS14490	1032		old_locus_tag=E2P69_14510
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	188592	189623	+	WP_008571002.1	WP_008571002.1		type IV secretion system protein			E2P69_RS14490	1032	343	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	189620	190387	+							E2P69_RS14495	768		old_locus_tag=E2P69_14515
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	189620	190387	+	WP_008571003.1	WP_008571003.1		TrbG/VirB9 family P-type conjugative transfer protein			E2P69_RS14495	768	255	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	190777	191553	+							E2P69_RS14500	777		old_locus_tag=E2P69_14520
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	190777	191553	+	WP_186380440.1	WP_186380440.1		TrbI/VirB10 family protein			E2P69_RS14500	777	258	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	191559	192608	+					virB11		E2P69_RS14505	1050		old_locus_tag=E2P69_14525
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	191559	192608	+	WP_005914233.1	WP_005914233.1		P-type DNA transfer ATPase VirB11	virB11		E2P69_RS14505	1050	349	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	192671	193501	+							E2P69_RS14510	831		old_locus_tag=E2P69_14530
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	192671	193501	+	WP_033478369.1	WP_033478369.1		lytic transglycosylase domain-containing protein			E2P69_RS14510	831	276	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	193559	193969	+							E2P69_RS14515	411		old_locus_tag=E2P69_14535
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	193559	193969	+	WP_008571006.1	WP_008571006.1		TrbC/VirB2 family protein			E2P69_RS14515	411	136	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	193962	194273	+							E2P69_RS14520	312		old_locus_tag=E2P69_14540
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	193962	194273	+	WP_145481297.1	WP_145481297.1		VirB3 family type IV secretion system protein			E2P69_RS14520	312	103	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	194374	196827	+							E2P69_RS14525	2454		old_locus_tag=E2P69_14545
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	194374	196827	+	WP_145481299.1	WP_145481299.1		VirB4 family type IV secretion/conjugal transfer ATPase			E2P69_RS14525	2454	817	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	196928	197650	+							E2P69_RS14530	723		old_locus_tag=E2P69_14550
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	196928	197650	+	WP_033478371.1	WP_033478371.1		hypothetical protein			E2P69_RS14530	723	240	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	197758	198834	+							E2P69_RS14535	1077		old_locus_tag=E2P69_14555
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	197758	198834	+	WP_008571010.1	WP_008571010.1		type IV secretion system protein			E2P69_RS14535	1077	358	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	198854	199345	+							E2P69_RS14540	492		old_locus_tag=E2P69_14560
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	198854	199345	+	WP_074053087.1	WP_074053087.1		DUF4189 domain-containing protein			E2P69_RS14540	492	163	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	199462	199977	+							E2P69_RS14545	516		old_locus_tag=E2P69_14565
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	199462	199977	+	WP_126952779.1	WP_126952779.1		hypothetical protein			E2P69_RS14545	516	171	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	200535	201326	+							E2P69_RS14550	792		old_locus_tag=E2P69_14570
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	200535	201326	+	WP_046932475.1	WP_046932475.1		peptidoglycan-binding protein			E2P69_RS14550	792	263	
gene	pseudogene	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	201366	202438	+							E2P69_RS14555	1073		pseudo;old_locus_tag=E2P69_14575
CDS	without_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	201366	202438	+				type IV secretion system protein			E2P69_RS14555	1073		pseudo
gene	pseudogene	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	202440	202915	+							E2P69_RS14560	476		pseudo;old_locus_tag=E2P69_14580
CDS	without_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	202440	202915	+				DUF4189 domain-containing protein			E2P69_RS14560	476		pseudo
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	203114	203740	+							E2P69_RS14565	627		old_locus_tag=E2P69_14585
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	203114	203740	+	WP_046931888.1	WP_046931888.1		FG-GAP repeat protein			E2P69_RS14565	627	208	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	203845	205140	+							E2P69_RS14570	1296		old_locus_tag=E2P69_14590
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	203845	205140	+	WP_126952760.1	WP_126952760.1		peptidoglycan-binding protein			E2P69_RS14570	1296	431	
gene	pseudogene	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	205180	205794	+							E2P69_RS14575	615		partial;pseudo;old_locus_tag=E2P69_14595
CDS	without_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	205180	205794	+				type IV secretion system protein			E2P69_RS14575	615		partial;pseudo
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	205810	205943	-							E2P69_RS14580	134		partial;old_locus_tag=E2P69_14600
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000012.1	205810	205943	-	WP_145475577.1	WP_145475577.1		transposase			E2P69_RS14580	134	43	partial
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	570	1751	+					benE		E2P69_RS14585	1182		old_locus_tag=E2P69_14605
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	570	1751	+	WP_033478882.1	WP_033478882.1		benzoate/H(+) symporter BenE family transporter	benE		E2P69_RS14585	1182	393	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	1826	3730	-							E2P69_RS14590	1905		old_locus_tag=E2P69_14610
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	1826	3730	-	WP_033478880.1	WP_033478880.1		GAF domain-containing protein			E2P69_RS14590	1905	634	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	3727	4320	-							E2P69_RS14595	594		old_locus_tag=E2P69_14615
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	3727	4320	-	WP_008573226.1	WP_008573226.1		biliverdin-producing heme oxygenase			E2P69_RS14595	594	197	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	4420	5685	-							E2P69_RS14600	1266		old_locus_tag=E2P69_14620
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	4420	5685	-	WP_008573228.1	WP_008573228.1		tetracycline resistance MFS efflux pump			E2P69_RS14600	1266	421	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	5968	8130	-							E2P69_RS14605	2163		old_locus_tag=E2P69_14625
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	5968	8130	-	WP_008574667.1	WP_008574667.1		lytic murein transglycosylase			E2P69_RS14605	2163	720	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	8306	8512	-							E2P69_RS14610	207		old_locus_tag=E2P69_14630
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	8306	8512	-	WP_008571431.1	WP_008571431.1		hypothetical protein			E2P69_RS14610	207	68	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	8697	9083	-							E2P69_RS14615	387		old_locus_tag=E2P69_14635
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	8697	9083	-	WP_008571430.1	WP_008571430.1		YchJ family protein			E2P69_RS14615	387	128	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	9154	9993	+							E2P69_RS14620	840		old_locus_tag=E2P69_14640
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	9154	9993	+	WP_033478878.1	WP_033478878.1		TSUP family transporter			E2P69_RS14620	840	279	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	10042	14103	-							E2P69_RS14625	4062		old_locus_tag=E2P69_14645
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	10042	14103	-	WP_033478877.1	WP_033478877.1		ATP-binding protein			E2P69_RS14625	4062	1353	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	14377	15078	-							E2P69_RS14630	702		old_locus_tag=E2P69_14650
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	14377	15078	-	WP_008574660.1	WP_008574660.1		DUF4194 domain-containing protein			E2P69_RS14630	702	233	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	15065	16534	-							E2P69_RS14635	1470		old_locus_tag=E2P69_14655
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	15065	16534	-	WP_008574658.1	WP_008574658.1		DUF3375 domain-containing protein			E2P69_RS14635	1470	489	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	16554	17156	-					folE		E2P69_RS14640	603		old_locus_tag=E2P69_14660
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	16554	17156	-	WP_008574657.1	WP_008574657.1		GTP cyclohydrolase I FolE	folE		E2P69_RS14640	603	200	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	17287	17739	+							E2P69_RS14645	453		old_locus_tag=E2P69_14665
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	17287	17739	+	WP_008574655.1	WP_008574655.1		MarR family transcriptional regulator			E2P69_RS14645	453	150	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	17828	18046	+							E2P69_RS14650	219		old_locus_tag=E2P69_14670
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	17828	18046	+	WP_008574653.1	WP_008574653.1		DUF1656 domain-containing protein			E2P69_RS14650	219	72	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	18043	18966	+							E2P69_RS14655	924		old_locus_tag=E2P69_14675
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	18043	18966	+	WP_008574651.1	WP_008574651.1		efflux RND transporter periplasmic adaptor subunit			E2P69_RS14655	924	307	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	18963	20423	+							E2P69_RS14660	1461		old_locus_tag=E2P69_14680
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	18963	20423	+	WP_046932699.1	WP_046932699.1		efflux transporter outer membrane subunit			E2P69_RS14660	1461	486	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	20420	22717	+							E2P69_RS14665	2298		old_locus_tag=E2P69_14685
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	20420	22717	+	WP_008577191.1	WP_008577191.1		FUSC family protein			E2P69_RS14665	2298	765	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	22941	24302	-							E2P69_RS14670	1362		old_locus_tag=E2P69_14690
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	22941	24302	-	WP_033479277.1	WP_033479277.1		MFS transporter			E2P69_RS14670	1362	453	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	24416	24964	-							E2P69_RS14675	549		old_locus_tag=E2P69_14695
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	24416	24964	-	WP_029820594.1	WP_029820594.1		DUF1905 domain-containing protein			E2P69_RS14675	549	182	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	25072	25974	-							E2P69_RS14680	903		old_locus_tag=E2P69_14700
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	25072	25974	-	WP_008577185.1	WP_008577185.1		LysR family transcriptional regulator			E2P69_RS14680	903	300	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	26075	26908	+							E2P69_RS14685	834		old_locus_tag=E2P69_14705
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	26075	26908	+	WP_008577184.1	WP_008577184.1		SDR family oxidoreductase			E2P69_RS14685	834	277	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	27067	27615	+							E2P69_RS14690	549		old_locus_tag=E2P69_14710
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	27067	27615	+	WP_008577182.1	WP_008577182.1		RNA 2'-phosphotransferase			E2P69_RS14690	549	182	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	27739	29004	+							E2P69_RS14695	1266		old_locus_tag=E2P69_14715
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	27739	29004	+	WP_008577180.1	WP_008577180.1		cardiolipin synthase B			E2P69_RS14695	1266	421	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	29030	29557	-							E2P69_RS14700	528		old_locus_tag=E2P69_14720
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	29030	29557	-	WP_008577178.1	WP_008577178.1		hypothetical protein			E2P69_RS14700	528	175	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	29829	30035	+							E2P69_RS14705	207		old_locus_tag=E2P69_14725
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	29829	30035	+	WP_008577177.1	WP_008577177.1		hypothetical protein			E2P69_RS14705	207	68	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	30022	31128	+							E2P69_RS14710	1107		old_locus_tag=E2P69_14730
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	30022	31128	+	WP_145481302.1	WP_145481302.1		type II toxin-antitoxin system RelE/ParE family toxin			E2P69_RS14710	1107	368	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	31333	31821	-							E2P69_RS14715	489		old_locus_tag=E2P69_14735
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	31333	31821	-	WP_029820586.1	WP_029820586.1		hypothetical protein			E2P69_RS14715	489	162	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	32666	32959	+							E2P69_RS14720	294		old_locus_tag=E2P69_14740
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	32666	32959	+	WP_008574615.1	WP_008574615.1		hypothetical protein			E2P69_RS14720	294	97	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	32976	33908	+							E2P69_RS14725	933		old_locus_tag=E2P69_14745
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	32976	33908	+	WP_074053295.1	WP_074053295.1		hypothetical protein			E2P69_RS14725	933	310	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	34602	36221	+							E2P69_RS14730	1620		old_locus_tag=E2P69_14750
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	34602	36221	+	WP_008574611.1	WP_008574611.1		enterochelin esterase			E2P69_RS14730	1620	539	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	36332	36730	-							E2P69_RS14735	399		old_locus_tag=E2P69_14755
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	36332	36730	-	WP_008574610.1	WP_008574610.1		DUF2384 domain-containing protein			E2P69_RS14735	399	132	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	37050	37481	+							E2P69_RS14740	432		old_locus_tag=E2P69_14760
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	37050	37481	+	WP_029820583.1	WP_029820583.1		hypothetical protein			E2P69_RS14740	432	143	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	37500	38192	-							E2P69_RS14745	693		old_locus_tag=E2P69_14765
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	37500	38192	-	WP_046932691.1	WP_046932691.1		DUF2306 domain-containing protein			E2P69_RS14745	693	230	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	38223	39125	-							E2P69_RS14750	903		old_locus_tag=E2P69_14770
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	38223	39125	-	WP_008574606.1	WP_008574606.1		pseudouridine synthase			E2P69_RS14750	903	300	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	39487	41037	+							E2P69_RS14755	1551		old_locus_tag=E2P69_14775
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	39487	41037	+	WP_134813380.1	WP_134813380.1		hypothetical protein			E2P69_RS14755	1551	516	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	41390	42241	+							E2P69_RS14760	852		old_locus_tag=E2P69_14780
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	41390	42241	+	WP_008574601.1	WP_008574601.1		hypothetical protein			E2P69_RS14760	852	283	
gene	pseudogene	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	42705	43539	+							E2P69_RS14765	835		pseudo;old_locus_tag=E2P69_14785
CDS	without_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	42705	43539	+				restriction endonuclease			E2P69_RS14765	835		pseudo
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	43609	43866	-							E2P69_RS14770	258		old_locus_tag=E2P69_14790
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	43609	43866	-	WP_033478872.1	WP_033478872.1		hypothetical protein			E2P69_RS14770	258	85	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	44222	44437	-							E2P69_RS14780	216		old_locus_tag=E2P69_14800
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	44222	44437	-	WP_033478871.1	WP_033478871.1		transposase			E2P69_RS14780	216	71	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	44434	45078	-							E2P69_RS14785	645		old_locus_tag=E2P69_14805
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	44434	45078	-	WP_077708913.1	WP_077708913.1		IS3 family transposase			E2P69_RS14785	645	214	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	45691	46125	+							E2P69_RS14790	435		old_locus_tag=E2P69_14810
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	45691	46125	+	WP_031425208.1	WP_031425208.1		hypothetical protein			E2P69_RS14790	435	144	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	46297	46773	-							E2P69_RS14795	477		old_locus_tag=E2P69_14815
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	46297	46773	-	WP_008571764.1	WP_008571764.1		nuclear transport factor 2 family protein			E2P69_RS14795	477	158	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	46837	47406	-							E2P69_RS14800	570		old_locus_tag=E2P69_14820
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	46837	47406	-	WP_008571765.1	WP_008571765.1		TetR/AcrR family transcriptional regulator			E2P69_RS14800	570	189	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	47523	48095	-							E2P69_RS14805	573		old_locus_tag=E2P69_14825
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	47523	48095	-	WP_008571766.1	WP_008571766.1		TetR/AcrR family transcriptional regulator			E2P69_RS14805	573	190	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	48179	48922	+							E2P69_RS14810	744		old_locus_tag=E2P69_14830
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	48179	48922	+	WP_008571767.1	WP_008571767.1		glucose 1-dehydrogenase			E2P69_RS14810	744	247	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	49287	49805	-							E2P69_RS14815	519		old_locus_tag=E2P69_14835
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	49287	49805	-	WP_033478552.1	WP_033478552.1		hypothetical protein			E2P69_RS14815	519	172	
gene	pseudogene	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	49833	50275	-							E2P69_RS14820	443		partial;pseudo;old_locus_tag=E2P69_14840
CDS	without_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	49833	50275	-				hypothetical protein			E2P69_RS14820	443		partial;pseudo
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	50371	50703	+							E2P69_RS14825	333		old_locus_tag=E2P69_14845
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	50371	50703	+	WP_003482333.1	WP_003482333.1		hypothetical protein			E2P69_RS14825	333	110	
gene	ncRNA	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	50765	50841	+							E2P69_RS14830	77		old_locus_tag=E2P69_14850
ncRNA	other	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	50765	50841	+				sX9 sRNA			E2P69_RS14830	77		
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	51039	52964	+							E2P69_RS14835	1926		old_locus_tag=E2P69_14855
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	51039	52964	+	WP_033478553.1	WP_033478553.1		M61 family metallopeptidase			E2P69_RS14835	1926	641	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	53032	53211	+							E2P69_RS22920	180		
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	53032	53211	+	WP_003482327.1	WP_003482327.1		hypothetical protein			E2P69_RS22920	180	59	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	53314	54708	-							E2P69_RS14845	1395		old_locus_tag=E2P69_14865
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	53314	54708	-	WP_008571771.1	WP_008571771.1		nucleoside hydrolase			E2P69_RS14845	1395	464	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	55057	55347	-							E2P69_RS14855	291		old_locus_tag=E2P69_14875
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000013.1	55057	55347	-	WP_008571772.1	WP_008571772.1		HigA family addiction module antidote protein			E2P69_RS14855	291	96	
